SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,34,18,9,Giannis Antetokounmpo,39
22020,38,11,5,Giannis Antetokounmpo,39
22020,24,18,9,Giannis Antetokounmpo,38
22020,27,14,8,Giannis Antetokounmpo,36
22020,25,12,3,Giannis Antetokounmpo,35
22020,34,12,7,Giannis Antetokounmpo,40
22020,31,9,1,Giannis Antetokounmpo,30
22020,22,10,10,Giannis Antetokounmpo,33
22020,22,6,4,Giannis Antetokounmpo,27
22020,35,8,4,Giannis Antetokounmpo,33
22020,25,8,4,Giannis Antetokounmpo,28
22020,43,9,4,Giannis Antetokounmpo,36
22020,29,12,8,Giannis Antetokounmpo,28
22020,26,13,10,Giannis Antetokounmpo,38
22020,9,6,6,Giannis Antetokounmpo,24
22020,27,13,5,Giannis Antetokounmpo,32
22020,15,13,4,Giannis Antetokounmpo,27
22020,35,13,2,Giannis Antetokounmpo,36
22020,1,2,0,Kostas Antetokounmpo,5
22020,2,4,0,Kostas Antetokounmpo,7
22020,2,3,0,Kostas Antetokounmpo,6
22020,1,1,0,Kostas Antetokounmpo,5
22020,0,4,0,Kostas Antetokounmpo,8
22020,0,1,1,Thanasis Antetokounmpo,15
22020,3,0,0,Thanasis Antetokounmpo,7
22020,3,1,1,Thanasis Antetokounmpo,16
22020,3,3,1,Thanasis Antetokounmpo,13
22020,4,6,5,Thanasis Antetokounmpo,11
22020,1,6,3,Thanasis Antetokounmpo,22
22020,7,5,1,Thanasis Antetokounmpo,21
22020,12,4,3,Thanasis Antetokounmpo,27
22020,2,4,1,Thanasis Antetokounmpo,18
22020,10,5,1,Thanasis Antetokounmpo,20
22020,2,4,0,Thanasis Antetokounmpo,8
22020,0,2,0,Thanasis Antetokounmpo,8
22020,8,1,0,Thanasis Antetokounmpo,12
22020,7,1,0,Thanasis Antetokounmpo,19
22020,23,10,5,Thanasis Antetokounmpo,37
22020,12,5,3,Thanasis Antetokounmpo,18
22020,3,3,2,Thanasis Antetokounmpo,14
22020,4,1,0,Thanasis Antetokounmpo,12
22020,4,2,0,Thanasis Antetokounmpo,7
22020,0,0,1,Thanasis Antetokounmpo,5
22020,0,1,0,Thanasis Antetokounmpo,5
22020,0,1,0,Thanasis Antetokounmpo,8
22020,6,8,2,Thanasis Antetokounmpo,19
22020,2,4,0,Thanasis Antetokounmpo,13
22020,3,5,0,Thanasis Antetokounmpo,15
22020,5,3,0,Thanasis Antetokounmpo,8
22020,2,0,2,Thanasis Antetokounmpo,8
22020,2,6,1,Thanasis Antetokounmpo,6
22020,2,1,0,Thanasis Antetokounmpo,7
22020,2,5,2,Thanasis Antetokounmpo,11
22020,0,2,2,Thanasis Antetokounmpo,12
22020,2,5,0,Thanasis Antetokounmpo,13
22020,8,2,1,Thanasis Antetokounmpo,12
22020,2,0,0,Thanasis Antetokounmpo,5
22020,0,1,2,Thanasis Antetokounmpo,15
22020,4,2,0,Thanasis Antetokounmpo,11
22020,5,5,4,Thanasis Antetokounmpo,20
22020,0,2,0,Thanasis Antetokounmpo,5
22020,4,0,1,Thanasis Antetokounmpo,10
22020,10,2,3,Carmelo Anthony,22
22020,5,3,1,Carmelo Anthony,22
22020,18,2,1,Carmelo Anthony,27
22020,3,0,0,Carmelo Anthony,18
22020,16,5,3,Carmelo Anthony,22
22020,14,0,0,Carmelo Anthony,22
22020,13,3,0,Carmelo Anthony,27
22020,15,2,3,Carmelo Anthony,20
22020,18,6,0,Carmelo Anthony,23
22020,13,2,2,Carmelo Anthony,17
22020,12,3,0,Carmelo Anthony,19
22020,13,3,1,Carmelo Anthony,19
22020,12,4,0,Carmelo Anthony,20
22020,18,3,4,Carmelo Anthony,28
22020,24,3,2,Carmelo Anthony,28
22020,13,3,1,Carmelo Anthony,26
22020,25,2,1,Carmelo Anthony,28
22020,0,3,0,Carmelo Anthony,16
22020,11,4,1,Carmelo Anthony,19
22020,7,1,0,Carmelo Anthony,17
22020,8,5,1,Carmelo Anthony,17
22020,10,1,1,Carmelo Anthony,15
22020,6,4,2,Carmelo Anthony,28
22020,16,3,0,Carmelo Anthony,22
22020,8,3,2,Carmelo Anthony,28
22020,8,0,2,Carmelo Anthony,27
22020,20,6,2,Carmelo Anthony,33
22020,15,2,1,Carmelo Anthony,23
22020,6,2,1,Carmelo Anthony,22
22020,18,4,0,Carmelo Anthony,28
22020,15,2,2,Carmelo Anthony,24
22020,9,4,6,Carmelo Anthony,30
22020,16,4,5,Carmelo Anthony,30
22020,26,2,6,Carmelo Anthony,31
22020,13,5,0,Carmelo Anthony,22
22020,16,2,3,Carmelo Anthony,25
22020,22,2,4,Carmelo Anthony,32
22020,29,3,2,Carmelo Anthony,32
22020,4,2,3,Carmelo Anthony,20
22020,24,4,1,Carmelo Anthony,32
22020,10,3,2,Carmelo Anthony,22
22020,7,3,0,Carmelo Anthony,25
22020,12,3,1,Carmelo Anthony,20
22020,10,4,3,Carmelo Anthony,27
22020,15,5,3,Carmelo Anthony,31
22020,23,2,1,Carmelo Anthony,20
22020,24,2,0,Carmelo Anthony,26
22020,23,3,0,Carmelo Anthony,27
22020,2,3,0,Carmelo Anthony,17
22020,22,4,5,Carmelo Anthony,31
22020,21,4,1,Carmelo Anthony,26
22020,4,2,1,Carmelo Anthony,18
22020,4,3,1,Carmelo Anthony,17
22020,6,9,1,Carmelo Anthony,38
22020,22,6,1,Carmelo Anthony,35
22020,12,4,1,Carmelo Anthony,26
22020,14,3,2,Carmelo Anthony,26
22020,11,1,1,Carmelo Anthony,29
22020,10,2,1,Carmelo Anthony,22
22020,6,2,1,Carmelo Anthony,20
22020,20,5,3,Carmelo Anthony,35
22020,13,2,0,Carmelo Anthony,22
22020,9,3,3,Carmelo Anthony,21
22020,12,4,0,Carmelo Anthony,28
22020,10,3,0,Carmelo Anthony,27
22020,18,5,1,Carmelo Anthony,24
22020,15,5,2,Carmelo Anthony,25
22020,5,1,2,Carmelo Anthony,20
22020,15,4,0,Carmelo Anthony,24
22020,17,5,4,OG Anunoby,41
22020,25,3,3,OG Anunoby,34
22020,21,6,6,OG Anunoby,32
22020,20,5,2,OG Anunoby,32
22020,27,5,3,OG Anunoby,39
22020,25,3,1,OG Anunoby,35
22020,22,4,3,OG Anunoby,34
22020,15,6,0,OG Anunoby,36
22020,15,5,3,OG Anunoby,30
22020,13,4,6,OG Anunoby,41
22020,2,0,3,OG Anunoby,10
22020,14,6,2,OG Anunoby,38
22020,21,3,2,OG Anunoby,26
22020,20,11,3,OG Anunoby,36
22020,19,5,3,OG Anunoby,31
22020,19,10,3,OG Anunoby,38
22020,15,7,3,OG Anunoby,38
22020,23,6,3,OG Anunoby,28
22020,17,6,2,OG Anunoby,31
22020,15,5,1,OG Anunoby,34
22020,11,3,5,OG Anunoby,28
22020,14,6,2,OG Anunoby,36
22020,10,4,1,OG Anunoby,29
22020,10,6,1,OG Anunoby,30
22020,10,7,1,OG Anunoby,27
22020,13,7,1,OG Anunoby,27
22020,10,5,2,OG Anunoby,28
22020,30,8,1,OG Anunoby,40
22020,21,4,1,OG Anunoby,35
22020,18,7,3,OG Anunoby,40
22020,13,11,0,OG Anunoby,33
22020,18,5,1,OG Anunoby,36
22020,13,5,2,OG Anunoby,33
22020,18,4,3,OG Anunoby,36
22020,10,6,1,OG Anunoby,37
22020,8,2,2,OG Anunoby,29
22020,20,8,0,OG Anunoby,38
22020,10,0,1,OG Anunoby,30
22020,17,7,3,OG Anunoby,36
22020,5,7,2,OG Anunoby,35
22020,20,6,2,OG Anunoby,36
22020,10,6,1,OG Anunoby,36
22020,8,8,2,OG Anunoby,36
22020,14,4,2,Ryan Arcidiacono,17
22020,5,2,5,Ryan Arcidiacono,14
22020,0,0,0,Ryan Arcidiacono,5
22020,6,0,0,Ryan Arcidiacono,16
22020,0,1,1,Ryan Arcidiacono,6
22020,0,2,0,Ryan Arcidiacono,6
22020,3,1,2,Ryan Arcidiacono,9
22020,3,4,1,Ryan Arcidiacono,19
22020,4,1,2,Ryan Arcidiacono,8
22020,4,4,1,Ryan Arcidiacono,15
22020,2,2,4,Ryan Arcidiacono,16
22020,5,2,4,Ryan Arcidiacono,15
22020,5,2,3,Ryan Arcidiacono,15
22020,0,1,1,Ryan Arcidiacono,9
22020,9,0,2,Ryan Arcidiacono,15
22020,7,1,1,Ryan Arcidiacono,17
22020,0,1,1,Ryan Arcidiacono,10
22020,4,2,0,Ryan Arcidiacono,14
22020,0,1,2,Ryan Arcidiacono,11
22020,0,1,0,Ryan Arcidiacono,7
22020,5,1,1,Ryan Arcidiacono,13
22020,5,1,0,Ryan Arcidiacono,9
22020,3,0,1,Ryan Arcidiacono,11
22020,3,3,0,Ryan Arcidiacono,9
22020,2,2,0,Ryan Arcidiacono,15
